name,year,country,genres,movie_time,actors,director
Avengers: Infinity War ,2018,آمریکا,اکشن ماجراجویی فانتزی,149 دقیقه,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo",Anthony Russo
Thor: Ragnarok ,2017,آمریکا,اکشن ماجراجویی فانتزی,130 دقیقه,"Tom Hiddleston,Benedict Cumberbatch,Idris Elba",Taika Waititi
Venom ,2018,,اکشن ترسناک علمی-تخیلی,112 دقیقه,"Tom Hardy,Michelle Williams,Riz Ahmed",Ruben Fleischer
John Wick: Chapter 3 - Parabellum ,2019,آمریکا,اکشن جنایی هیجانی,130 دقیقه,"Keanu Reeves,Halle Berry,Ian McShane",Chad Stahelski
Doctor Strange ,2016,آمریکا,اکشن ماجراجویی فانتزی,115 دقیقه,"Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams",Scott Derrickson
Interstellar ,2014,,ماجراجویی درام علمی-تخیلی,169 دقیقه,"Ellen Burstyn,Matthew McConaughey,Mackenzie Foy",Christopher Nolan
Despicable Me 3 ,2017,آمریکا,انیمیشن اکشن ماجراجویی,88 دقیقه,"Kristen Wiig,Steve Carell,Miranda Cosgrove",Kyle Balda
John Wick: Chapter 2 ,2017,آمریکا,اکشن جنایی هیجانی,114 دقیقه,"Keanu Reeves,Ruby Rose,Bridget Moynahan",Chad Stahelski
The Shawshank Redemption ,1994,,جنایی درام,142 دقیقه,"Tim Robbins,Morgan Freeman,Bob Gunton",Frank Darabont
Spider-Man: Into the Spider-Verse ,2018,آمریکا,انیمیشن اکشن ماجراجویی,105 دقیقه,"Hailee Steinfeld,Liev Schreiber,Nicolas Cage",Bob Persichetti
The Equalizer 2 ,2018,,اکشن جنایی هیجانی,121 دقیقه,"Denzel Washington,Pedro Pascal,Ashton Sanders",Antoine Fuqua
The Prestige ,2006,آمریکا,درام معمایی علمی-تخیلی,130 دقیقه,"Hugh Jackman,Christian Bale,Michael Caine",Christopher Nolan
Annabelle: Creation ,2017,آمریکا,ترسناک معمایی هیجانی,108 دقیقه,"Miranda Otto,Stephanie Sigman,Alicia Vela-Bailey",David F. Sandberg
Ferdinand ,2017,آمریکا,انیمیشن ماجراجویی کمدی,108 دقیقه,"Kate McKinnon,Bobby Cannavale,John Cena",Carlos Saldanha
Guardians of the Galaxy Vol. 2 ,2017,آمریکا,اکشن علمی-تخیلی,134 دقیقه,"Chris Pratt,Karen Gillan,Zoe Saldana",James Gunn
Captain America: Civil War ,2016,آمریکا,اکشن ماجراجویی علمی-تخیلی,147 دقیقه,"Chris Evans,Robert Downey Jr.,Scarlett Johansson",Anthony Russo
Cars 3 ,2017,آمریکا,انیمیشن ماجراجویی کمدی,109 دقیقه,Owen Wilson,Brian Fee
The Avengers ,2012,آمریکا,اکشن ماجراجویی علمی-تخیلی,143 دقیقه,"Robert Downey Jr.,Chris Evans,Mark Ruffalo",Joss Whedon
John Wick ,2014,آمریکا,اکشن جنایی هیجانی,101 دقیقه,"Keanu Reeves,Michael Nyqvist,Alfie Allen",Chad Stahelski
Tenet ,2020,انگلستانآمریکا,اکشن علمی-تخیلی,150 دقیقه,"Elizabeth Debicki,Robert Pattinson,John David Washington",Christopher Nolan
